HeadPhones
"CrossBeats Roar 2.0 Hybrid ANC Headphones, Bluetooth Wireless Over Ear Headphones 40db Active Noise Cancelling, 85hours Playtime, Fast Charge, Ambient Sound Mode,47mm Driver, Built-in Equalizer Black"
"SHOKZ OpenRun Bone Conduction Sports Headphones, Bluetooth Wireless Earphones with Mic, 8H Playtime, Open-Ear Waterproof Headset for Running, Workout, Driving, Standard Size (Cosmic Black)"
boAt BassHeads 900 On-Ear Wired Headphone with Mic
"Infinity by Harman Tranz 700 On Ear Wireless Headphone with Mic, 20 Hrs Playtime with Quick Charge, Deep Bass, Dual Equalizer, Bluetooth 5.0 and Voice Assistant Support (Black)"
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)"
"boAt Rockerz 450R On-Ear Headphones with 15 Hours Battery, 40mm Drivers, Padded Ear Cushions, Easy Access Controls and Voice Assistant(Hazel Beige)"
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)"
"ZEBRONICS Thunder 60 hrs Playback time Bluetooth Wireless Headphone with FM, mSD, Playback with Mic (Sea Green)"
Logitech H111 Wired On Ear Headphones With Mic Black
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Aqua Blue)"
"SHOKZ OpenRun Pro Bone Conduction Sports Headphones, Open-Ear Sports Earphones with Mic, Bluetooth Wireless Bone Conduction Headset, IP55 Waterproof, Ideal Sports Headphones Gift (Swift Black)"
"Mivi Commando Q9 Gaming TWS with Aurora Light, Dual RGB,13mm Electro-Dynamic Drivers, 72Hrs Playtime,35MS Low Latency,Type C Charging,Quad Mic ENC, Made in India Gaming Earbuds - Black"
"pTron Bassbuds Duo in-Ear Bluetooth 5.1 Wireless Headphones, Stereo Audio, Touch Control TWS Earbuds with HD Mic, Type-C Fast Charging, IPX4 Water Resistant & Voice Assistance"
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)"
boAt Rockerz 400 Bluetooth On Ear Headphones With Mic With Upto 8 Hours Playback & Soft Padded Ear Cushions(Carbon Black)
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Blue)"
"Philips Audio TAE1126 Wired in Ear Earphones with mic, 10 mm Driver, Powerful bass and Clear Sound, Black"
"HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 18 Hours Playtime, Bluetooth 5.3, Workout/Travel (Black)"
"HAMMER Bash Max Over The Ear Wireless Bluetooth Headphones with Mic, Touch Control, Deep Bass, Upto 18 Hours Playtime, Bluetooth 5.3, Workout/Travel (Apricot)"
"ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone with BTv5.0, Up to 21 Hours Playback, 40mm Drivers with Deep Bass, Wired Mode, USB-C Type Charging(Black)"
Sony Extra Bass MDR-XB450AP On-Ear Wired Headphones with Mic (Blue)
"SHOKZ OpenMove Bluetooth Wireless Headphones with Mic, Bone Conduction Wireless Headset with 6H Playtime, IP55 Waterproof Sports Headphones for Running, Workout, Cycling (Slate Grey)"
Fingers Headsets
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)"
"Jabra Elite 3 in Ear Bluetooth Truly Wireless in Ear Earbuds, Noise Isolating with mic for Clear Calls, Rich Bass, Customizable Sound, Mono Mode - Dark Grey"
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)"
"Sony WI-XB400 Wireless Extra Bass in-Ear Headphones with 15 hrs Battery, Quick Charge, Magnetic Earbuds, Tangle Free Cord, BT Ver 5.0, Work from home,Bluetooth Headset with Mic for Phone Calls (Black)"
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)"
