,Movie Name,Movie Rating,Year,Run TIme,Certificate
144,145. Unforgiven,8.2 (968K),1992,2h 10m,UA
145,146. A Beautiful Mind,8.2 (130K),2001,2h 15m,Passed
146,147. The Treasure of the Sierra Madre,8.2 (1M),1948,2h 6m,18
147,148. No Country for Old Men,8.2 (129K),2007,2h 2m,U
148,149. Yôjinbô,8.2 (1.2M),1961,1h 50m,A
149,150. Kill Bill: Vol. 1,8.2 (453K),2003,1h 51m,A
150,151. The Thing,8.2 (561K),1982,1h 49m,U
151,152. Monty Python and the Holy Grail,8.2 (254K),1975,1h 31m,U
152,153. The Great Escape,8.2 (1.1M),1963,2h 52m,U
153,154. Finding Nemo,8.2 (177K),2003,1h 40m,U
154,155. Rashōmon,8.2 (253K),1950,1h 28m,UA
155,156. The Elephant Man,8.2 (342K),1980,2h 4m,UA
156,157. Chinatown,8.2 (429K),1974,2h 10m,U
157,158. Hauru No Ugoku Shiro,8.2 (185K),2004,1h 59m,A
158,159. Dial M for Murder,8.2 (328K),1954,1h 45m,U
159,160. Gone with the Wind,8.2 (1.2M),1939,3h 58m,UA
160,161. V for Vendetta,8.1 (372K),2005,2h 12m,A
161,162. Raging Bull,8.1 (779K),1980,2h 9m,A
162,163. Prisoners,8.1 (606K),2013,2h 33m,A
163,"164. Lock, Stock and Two Smoking Barrels",8.2 (218K),1998,1h 47m,R
164,165. El Secreto De Sus Ojos,8.1 (760K),2009,2h 9m,U
165,166. Inside Out,8.2 (842K),2015,1h 35m,UA
166,167. Spider-Man: No Way Home,8.1 (540K),2021,2h 28m,A
167,"168. Three Billboards Outside Ebbing, Missouri",8.1 (230K),2017,1h 55m,U
168,169. The Bridge on the River Kwai,8.1 (713K),1957,2h 41m,A
169,170. Trainspotting,8.1 (707K),1996,1h 33m,A
170,171. Fargo,8.1 (490K),1996,1h 38m,UA
171,172. Warrior,8.1 (802K),2011,2h 20m,UA
172,173. Gran Torino,8.1 (1.1M),2008,1h 56m,A
173,174. Catch Me If You Can,8.1 (365K),2002,2h 21m,U
174,175. My Neighbour Totoro,8.1 (710K),1988,1h 26m,UA
175,176. Million Dollar Baby,8.2 (174K),2004,2h 12m,7
176,177. Klaus,8.1 (924K),2019,1h 36m,UA
177,178. Harry Potter and the Deathly Hallows: Part 2,8.2 (79K),2011,2h 10m,PG
178,179. Bacheha-Ye Aseman,8.1 (805K),1997,1h 29m,UA
179,180. Blade Runner,8.1 (729K),1982,1h 57m,A
180,181. 12 Years a Slave,8.1 (330K),2013,2h 14m,16
181,182. Before Sunrise,8.1 (865K),1995,1h 41m,UA
182,183. The Grand Budapest Hotel,8.1 (249K),2014,1h 39m,U
183,184. Ben-Hur,8.1 (116K),1959,3h 32m,Passed
184,185. The Gold Rush,8.1 (1M),1925,1h 35m,A
